"Log_ID","Log_Date","Operator_Name","Shift","Machine","Downtime_Minutes"
1,"2026-06-15","Amit","Morning","Drill_Press",28
2,"2026-06-19","Vikram","Night","Drill_Press",57
3,"2026-06-14","Vikram","Evening",NA,23
4,"25.06.2026","Rahul","Night","cnc-lathe",75
5,"2026-06-10","Rahul","Night","Milling_Machine",21
6,"2026-06-18","VIKRAM","Night",NA,47
7,"08.06.2026","Amit","Evening","MILLING MACH",56
8,"2026-06-11","Amit","Morning","Milling_Machine",57
9,"15/06/2026","Vikram","Night",NA,39
10,"30/06/2026","Vikram","Night","Drill_Press",47
11,"25/06/2026","Suresh","Evening","DrillPress",64
12,"2026-06-22","Vikram","Evening","Drill_Press",16
13,"2026-06-25","Vikram","Evening","Drill_Press",29
14,"2026-06-26","Suresh","Night","Stamping_Press",-15
15,"2026-06-27","Rahul","Night","MILLING MACH",36
16,"24/06/2026","Vikram","Evening","Drill_Press",72
17,"2026-06-19","Amit","Morning","Drill_Press",58
18,"2026-06-27","Amit","Morning","cnc-lathe",46
19,"2026-06-25","vikram","Morning","Drill_Press",15
20,"2026-06-28","Amit","Evening","Drill_Press",46
21,"2026-06-25","Rahul","Night","Milling_Machine",39
22,"15/06/2026","Vikram","Evening","Drill_Press",43
23,"2026-06-29","  amit ","Evening","Stamping_Press",-15
24,"21/06/2026","Priya","Night","DrillPress",55
25,"29.06.2026","Rahul","Night","Stamping_Press",24
26,"30.06.2026","Rahul","Night","Stamping_Press",-15
27,"14.06.2026","Vikram","Night",NA,53
28,"2026-06-10","Suresh","Evening","CNC_Lathe",29
29,"06.06.2026","Amit","Evening","Drill_Press",57
30,"2026-06-30","Vikram","Evening","Drill_Press",19
31,"2026-06-19","Rahul","Night","Stamping_Press",-11
32,"2026-06-04","RAHUL","Night","Stamping_Press",54
33,"15/06/2026","Rahul","Night","Stamping_Press",62
34,"2026-06-17","Rahul","Night","Milling_Machine",39
35,"2026-06-11","Suresh","Night","cnc-lathe",55
36,"11/06/2026","  Rahul ",NA,"MILLING MACH",22
37,"2026-06-21","vikram","Night","Drill_Press",42
38,"2026-06-12","vikram","Evening","Drill_Press",6
39,"2026-06-15","Priya","Morning","Milling_Machine",69
40,"15/06/2026","Priya","Morning","Drill_Press",-15
41,"27.06.2026","Vikram","Morning","Drill_Press",66
42,"05/06/2026","Priya","Night","CNC_Lathe",44
43,"2026-06-09","vikram","Morning","Drill_Press",44
44,"2026-06-09","Priya","Evening","Drill_Press",15
45,"2026-06-10","Amit","Morning","Milling_Machine",61
46,"17/06/2026","Vikram","Night","Drill_Press",-15
47,"2026-06-27","Amit","Night","CNC_Lathe",32
48,"2026-06-28","  PRIYA ","Night","Stamping_Press",17
49,"2026-06-21","PRIYA","Evening","cnc-lathe",39
50,"2026-06-07","Rahul","Night","Drill_Press",28
51,"2026-06-21","Suresh","Evening","Drill_Press",37
52,"03/06/2026","Amit","Morning","Stamping_Press",21
53,"2026-06-06","Suresh","Night","DrillPress",79
54,"2026-06-25","Vikram","Evening","Drill_Press",45
55,"2026-06-02","PRIYA","Evening","Drill_Press",66
56,"2026-06-29","Priya","Morning","MILLING MACH",-7
57,"05.06.2026","amit","Evening","Milling_Machine",36
58,"17/06/2026","Vikram","Morning","Drill_Press",31
59,"03/06/2026","RAHUL","Night","Milling_Machine",21
60,"2026-06-13","Amit","Night","Stamping_Press",76
61,"19/06/2026","  Suresh ","Night","cnc-lathe",17
62,"2026-06-01","Suresh","Evening","CNC_Lathe",51
63,"25/06/2026","Rahul",NA,"Drill_Press",62
64,"2026-06-27","Vikram","Morning","Drill_Press",49
65,"2026-06-25","Amit","Evening","Milling_Machine",-15
66,"05.06.2026","Suresh","Night","Milling_Machine",64
67,"2026-06-21","Priya","Evening","DrillPress",48
68,"2026-06-15","Amit","Night","DrillPress",24
69,"2026-06-09","Rahul","Night","cnc-lathe",17
70,"2026-06-15","Priya","Evening","Stamping_Press",87
71,"2026-06-26","Priya","Night","CNC_Lathe",31
72,"2026-06-28","Amit","Morning","MILLING MACH",-15
73,"2026-06-16","Rahul","Night","Milling_Machine",56
74,"08.06.2026","Amit","Night","DrillPress",51
75,"2026-06-30","Rahul","Night","cnc-lathe",18
76,"2026-06-06","Rahul",NA,"cnc-lathe",6
77,"28/06/2026","Rahul","Night","Stamping_Press",43
78,"2026-06-08","Vikram","Night","Drill_Press",68
79,"2026-06-22","Suresh","Night","MILLING MACH",58
80,"2026-06-22","Suresh","Morning","Drill_Press",35
81,"06.06.2026","VIKRAM","Night","Drill_Press",28
82,"2026-06-16","Suresh","Evening","Stamping_Press",50
83,"2026-06-17","Amit","Evening","CNC_Lathe",48
84,"04/06/2026","AMIT","Evening","CNC_Lathe",58
85,"15/06/2026","Amit","Night","cnc-lathe",37
86,"2026-06-17","Rahul",NA,"CNC_Lathe",63
87,"2026-06-02","Priya","Morning","MILLING MACH",28
88,"2026-06-04","  Suresh ","Evening","Stamping_Press",38
89,"2026-06-13","Priya","Evening","MILLING MACH",60
90,"2026-06-05","Amit","Night","cnc-lathe",65
91,"26.06.2026","Suresh","Evening","CNC_Lathe",6
92,"2026-06-19","Rahul","Night","Drill_Press",47
93,"03.06.2026","Priya","Morning","DrillPress",57
94,"2026-06-20","Vikram","Night","Drill_Press",16
95,"2026-06-22","Vikram","Morning","Drill_Press",55
96,"2026-06-25","Priya","Night","Stamping_Press",28
97,"2026-06-14","Rahul",NA,"Milling_Machine",65
98,"2026-06-25","Vikram","Night",NA,56
99,"2026-06-23","Suresh","Night","Stamping_Press",60
100,"2026-06-03","Rahul","Night","Drill_Press",47
101,"2026-06-08","Amit","Evening","DrillPress",62
102,"2026-06-16","Suresh","Morning","CNC_Lathe",73
103,"2026-06-30","rahul","Night","Stamping_Press",84
104,"2026-06-12","Suresh","Night","CNC_Lathe",44
105,"2026-06-25","Vikram","Evening","Drill_Press",0
106,"26.06.2026","Suresh","Morning","MILLING MACH",46
107,"14/06/2026","Rahul","Night","Stamping_Press",49
108,"10/06/2026","  Vikram ","Evening","Drill_Press",42
109,"25/06/2026","Suresh","Evening","Milling_Machine",-15
110,"2026-06-29","Priya","Morning","Drill_Press",65
111,"2026-06-07","RAHUL","Night","cnc-lathe",-15
112,"2026-06-03","Rahul","Night","Stamping_Press",39
113,"20.06.2026","Priya","Evening","Stamping_Press",53
114,"2026-06-22","Priya","Evening","Drill_Press",34
115,"2026-06-26","  Vikram ","Evening","Drill_Press",47
116,"2026-06-15","Amit","Morning","Drill_Press",-15
117,"26.06.2026","  Suresh ","Night","Drill_Press",23
118,"2026-06-05","Priya","Morning","MILLING MACH",18
119,"2026-06-08","Suresh","Evening","Drill_Press",-15
120,"2026-06-19","Suresh","Night","DrillPress",31
121,"02/06/2026","Vikram","Morning","Drill_Press",53
122,"2026-06-18","suresh","Morning","cnc-lathe",65
123,"2026-06-10","Rahul","Night","Drill_Press",30
124,"28/06/2026","Suresh","Night","Milling_Machine",25
125,"07/06/2026","Rahul","Night","Drill_Press",24
126,"2026-06-10","suresh","Evening","Milling_Machine",37
127,"2026-06-22","Suresh","Morning","Drill_Press",40
128,"30/06/2026","SURESH","Morning","Stamping_Press",55
129,"14.06.2026","Amit","Night","cnc-lathe",39
130,"2026-06-14","Vikram","Night","Drill_Press",3
131,"2026-06-17","Priya","Night","MILLING MACH",43
132,"2026-06-30","  RAHUL ","Night","Stamping_Press",69
133,"29.06.2026","Rahul","Night","DrillPress",69
134,"25.06.2026","SURESH","Evening","Drill_Press",29
135,"2026-06-03","  Amit ","Night","Stamping_Press",14
136,"30/06/2026","Rahul","Night","Stamping_Press",94
137,"2026-06-14","rahul","Night","CNC_Lathe",42
138,"2026-06-19","Rahul","Night","Milling_Machine",43
139,"2026-06-30","suresh","Night","CNC_Lathe",53
140,"2026-06-15","Priya","Evening","Milling_Machine",13
141,"2026-06-24","Suresh","Evening","Stamping_Press",30
142,"2026-06-17","Priya","Night","Milling_Machine",14
143,"2026-06-23","Priya","Evening","CNC_Lathe",31
144,"2026-06-11","suresh","Morning","CNC_Lathe",47
145,"2026-06-07","Suresh","Night","Stamping_Press",18
146,"2026-06-29","Suresh","Morning","Milling_Machine",57
147,"2026-06-15","Priya","Night","Stamping_Press",51
148,"2026-06-23","Suresh","Evening","Drill_Press",27
149,"2026-06-26","Rahul","Night","CNC_Lathe",50
150,"26.06.2026","Priya","Morning","Milling_Machine",-15
